Operational date,Time of Accident,KM && M,Position,Rural/Urban,Location,Nature of Accident Position,Nature of Accident,Vehicle Involved,Type of Accident,Causes,Road Feature,Road condition,Intersection Type And Control,Weather Condition,Vehicle Responsible,Help Provided by Ambulance/Patroling Vehicle,Classification of Accident,No of Affected Persons
16.03.2013,4:50 PM,1232.1,RHS,Rural,Maddipadu,Rear End Collision,Ape Auto hit Lorry,Auto,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TU       7670,YES,Grevious,1
16.03.2013,4:50 PM,1232.1,RHS,Rural,Maddipadu,Rear End Collision,Ape Auto hit Lorry,Auto,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TU       7670,YES,Minor,2
16.03.2013,4:50 PM,1232.1,RHS,Rural,Maddipadu,Rear End Collision,Ape Auto hit Lorry,Auto,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TU       7670,YES,Non injured ,2
16.03.2013,4:50 PM,1232.1,RHS,Rural,Maddipadu,Rear End Collision,Ape Auto hit Lorry,Auto,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TU       7670,YES,Animals affected,0
16.03.2013,11:30 PM,1358.8,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit Lorry and Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT  2434,YES,Fatal,0
16.03.2013,11:30 PM,1358.8,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit Lorry and Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT  2434,YES,Grevious,0
16.03.2013,11:30 PM,1358.8,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit Lorry and Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT  2434,YES,Minor,3
16.03.2013,11:30 PM,1358.8,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit Lorry and Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT  2434,YES,Non injured ,3
16.03.2013,11:30 PM,1358.8,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit Lorry and Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT  2434,YES,Animals affected,0
17.03.2013,6:30 AM,1257.1,LHS,Rural,Tangutur,Rear End Collision, Tempo Van hit Tractor,Van,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP02TA  6301,YES,Fatal,0
17.03.2013,6:30 AM,1257.1,LHS,Rural,Tangutur,Rear End Collision, Tempo Van hit Tractor,Van,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP02TA  6301,YES,Grevious,0
17.03.2013,6:30 AM,1257.1,LHS,Rural,Tangutur,Rear End Collision, Tempo Van hit Tractor,Van,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP02TA  6301,YES,Minor,4
17.03.2013,6:30 AM,1257.1,LHS,Rural,Tangutur,Rear End Collision, Tempo Van hit Tractor,Van,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP02TA  6301,YES,Non injured ,2
17.03.2013,6:30 AM,1257.1,LHS,Rural,Tangutur,Rear End Collision, Tempo Van hit Tractor,Van,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP02TA  6301,YES,Animals affected,0
17.03.2013,4:20 PM,1286.7,RHS,Rural,Ulavapadu,Rear End Collision, Unknown Vehicle hit    Bike,Unknown,Minor injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,Unknown Vehicle,YES,Fatal,0
17.03.2013,4:20 PM,1286.7,RHS,Rural,Ulavapadu,Rear End Collision, Unknown Vehicle hit    Bike,Unknown,Minor injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,Unknown Vehicle,YES,Grevious,0
17.03.2013,4:20 PM,1286.7,RHS,Rural,Ulavapadu,Rear End Collision, Unknown Vehicle hit    Bike,Unknown,Minor injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,Unknown Vehicle,YES,Minor,1
17.03.2013,4:20 PM,1286.7,RHS,Rural,Ulavapadu,Rear End Collision, Unknown Vehicle hit    Bike,Unknown,Minor injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,Unknown Vehicle,YES,Non injured ,0
17.03.2013,4:20 PM,1286.7,RHS,Rural,Ulavapadu,Rear End Collision, Unknown Vehicle hit    Bike,Unknown,Minor injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,Unknown Vehicle,YES,Animals affected,0
17.03.2013,5:34 PM,1275.8,RHS,Rural,Singarayakonda,Overturning, Lorry Over Turned,Lorry,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP09U  2115,YES,Fatal,0
17.03.2013,5:34 PM,1275.8,RHS,Rural,Singarayakonda,Overturning, Lorry Over Turned,Lorry,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP09U  2115,YES,Grevious,0
17.03.2013,5:34 PM,1275.8,RHS,Rural,Singarayakonda,Overturning, Lorry Over Turned,Lorry,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP09U  2115,YES,Minor,2
17.03.2013,5:34 PM,1275.8,RHS,Rural,Singarayakonda,Overturning, Lorry Over Turned,Lorry,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP09U  2115,YES,Non injured ,1
17.03.2013,5:34 PM,1275.8,RHS,Rural,Singarayakonda,Overturning, Lorry Over Turned,Lorry,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP09U  2115,YES,Animals affected,0
18.03.2013,5:00 AM,1256.1,LHS,Rural,Tangutur,Rear End Collision,Lorry hit       Unknown Vehicle,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Slight curve,,Fine,KA01C    2452,YES,Fatal,0
18.03.2013,5:00 AM,1256.1,LHS,Rural,Tangutur,Rear End Collision,Lorry hit       Unknown Vehicle,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Slight curve,,Fine,KA01C    2452,YES,Grevious,0
18.03.2013,5:00 AM,1256.1,LHS,Rural,Tangutur,Rear End Collision,Lorry hit       Unknown Vehicle,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Slight curve,,Fine,KA01C    2452,YES,Minor,0
18.03.2013,5:00 AM,1256.1,LHS,Rural,Tangutur,Rear End Collision,Lorry hit       Unknown Vehicle,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Slight curve,,Fine,KA01C    2452,YES,Non injured ,2
18.03.2013,5:00 AM,1256.1,LHS,Rural,Tangutur,Rear End Collision,Lorry hit       Unknown Vehicle,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Slight curve,,Fine,KA01C    2452,YES,Animals affected,0
18.03.2013,11:15 AM,1253,LHS,Rural,Ongole,Collision Brush/Side Wipe,Mini Lorry hit  Pedestrain and Bike,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01U   2877,YES,Fatal,0
18.03.2013,11:15 AM,1253,LHS,Rural,Ongole,Collision Brush/Side Wipe,Mini Lorry hit  Pedestrain and Bike,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01U   2877,YES,Grevious,1
18.03.2013,11:15 AM,1253,LHS,Rural,Ongole,Collision Brush/Side Wipe,Mini Lorry hit  Pedestrain and Bike,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01U   2877,YES,Minor,0
18.03.2013,11:15 AM,1253,LHS,Rural,Ongole,Collision Brush/Side Wipe,Mini Lorry hit  Pedestrain and Bike,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01U   2877,YES,Non injured ,1
18.03.2013,11:15 AM,1253,LHS,Rural,Ongole,Collision Brush/Side Wipe,Mini Lorry hit  Pedestrain and Bike,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01U   2877,YES,Animals affected,0
19.03.2013,7:15 PM,1272.2,LHS,Rural,Jarugumalli,Head on collision,Lorry hit    Cycle list,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y    6792,YES,Fatal,1
19.03.2013,7:15 PM,1272.2,LHS,Rural,Jarugumalli,Head on collision,Lorry hit    Cycle list,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y    6792,YES,Grevious,0
19.03.2013,7:15 PM,1272.2,LHS,Rural,Jarugumalli,Head on collision,Lorry hit    Cycle list,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y    6792,YES,Minor,0
19.03.2013,7:15 PM,1272.2,LHS,Rural,Jarugumalli,Head on collision,Lorry hit    Cycle list,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y    6792,YES,Non injured ,2
19.03.2013,7:15 PM,1272.2,LHS,Rural,Jarugumalli,Head on collision,Lorry hit    Cycle list,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y    6792,YES,Animals affected,0
20.03.2013,12:50 AM,1189.8,LHS,Rural,Martur,Collision Brush/Side Wipe, Car hit    Cycle list,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16BZ    444,YES,Fatal,0
20.03.2013,12:50 AM,1189.8,LHS,Rural,Martur,Collision Brush/Side Wipe, Car hit    Cycle list,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16BZ    444,YES,Grevious,1
20.03.2013,12:50 AM,1189.8,LHS,Rural,Martur,Collision Brush/Side Wipe, Car hit    Cycle list,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16BZ    444,YES,Minor,0
20.03.2013,12:50 AM,1189.8,LHS,Rural,Martur,Collision Brush/Side Wipe, Car hit    Cycle list,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16BZ    444,YES,Non injured ,2
20.03.2013,12:50 AM,1189.8,LHS,Rural,Martur,Collision Brush/Side Wipe, Car hit    Cycle list,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16BZ    444,YES,Animals affected,0
20.03.2013,6:20 AM,1243,RHS,Rural,Ongole,Rear End Collision, Lorry hit Unknown Vehicle,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y 6417,YES,Fatal,0
20.03.2013,6:20 AM,1243,RHS,Rural,Ongole,Rear End Collision, Lorry hit Unknown Vehicle,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y 6417,YES,Grevious,0
20.03.2013,6:20 AM,1243,RHS,Rural,Ongole,Rear End Collision, Lorry hit Unknown Vehicle,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y 6417,YES,Minor,1
20.03.2013,6:20 AM,1243,RHS,Rural,Ongole,Rear End Collision, Lorry hit Unknown Vehicle,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y 6417,YES,Non injured ,1
20.03.2013,6:20 AM,1243,RHS,Rural,Ongole,Rear End Collision, Lorry hit Unknown Vehicle,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27Y 6417,YES,Animals affected,0
20.03.2013,6:40 AM,1328.3,LHS,Rural,Kavali,Rear End Collision, Lorry hit Lorry,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,TN01AQ 7482,YES,Fatal,0
20.03.2013,6:40 AM,1328.3,LHS,Rural,Kavali,Rear End Collision, Lorry hit Lorry,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,TN01AQ 7482,YES,Grevious,1
20.03.2013,6:40 AM,1328.3,LHS,Rural,Kavali,Rear End Collision, Lorry hit Lorry,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,TN01AQ 7482,YES,Minor,0
20.03.2013,6:40 AM,1328.3,LHS,Rural,Kavali,Rear End Collision, Lorry hit Lorry,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,TN01AQ 7482,YES,Non injured ,2
20.03.2013,6:40 AM,1328.3,LHS,Rural,Kavali,Rear End Collision, Lorry hit Lorry,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,TN01AQ 7482,YES,Animals affected,0
20.03.2013,11:00 AM,1207.2,LHS,Rural,Reningavaram,Collision Brush/Side Wipe, Lorry hit Pedestrian,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TT  5405,YES,Fatal,0
20.03.2013,11:00 AM,1207.2,LHS,Rural,Reningavaram,Collision Brush/Side Wipe, Lorry hit Pedestrian,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TT  5405,YES,Grevious,1
20.03.2013,11:00 AM,1207.2,LHS,Rural,Reningavaram,Collision Brush/Side Wipe, Lorry hit Pedestrian,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TT  5405,YES,Minor,0
20.03.2013,11:00 AM,1207.2,LHS,Rural,Reningavaram,Collision Brush/Side Wipe, Lorry hit Pedestrian,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TT  5405,YES,Non injured ,0
20.03.2013,11:00 AM,1207.2,LHS,Rural,Reningavaram,Collision Brush/Side Wipe, Lorry hit Pedestrian,Lorry,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TT  5405,YES,Animals affected,0
20.03.2013,5:16 PM,1263.9,RHS,Rural,Tangutur,Rear End Collision, Lorry hit Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07PU 6566,YES,Fatal,0
20.03.2013,5:16 PM,1263.9,RHS,Rural,Tangutur,Rear End Collision, Lorry hit Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07PU 6566,YES,Grevious,0
20.03.2013,5:16 PM,1263.9,RHS,Rural,Tangutur,Rear End Collision, Lorry hit Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07PU 6566,YES,Minor,0
20.03.2013,5:16 PM,1263.9,RHS,Rural,Tangutur,Rear End Collision, Lorry hit Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07PU 6566,YES,Non injured ,4
20.03.2013,5:16 PM,1263.9,RHS,Rural,Tangutur,Rear End Collision, Lorry hit Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07PU 6566,YES,Animals affected,0
21.03.2013,11:00 AM,1194.3,LHS,Rural,Martur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28AM   1975,YES,Fatal,0
21.03.2013,11:00 AM,1194.3,LHS,Rural,Martur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28AM   1975,YES,Grevious,0
21.03.2013,11:00 AM,1194.3,LHS,Rural,Martur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28AM   1975,YES,Minor,1
21.03.2013,11:00 AM,1194.3,LHS,Rural,Martur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28AM   1975,YES,Non injured ,2
21.03.2013,11:00 AM,1194.3,LHS,Rural,Martur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28AM   1975,YES,Animals affected,0
21.03.2013,12:35 PM,1354.2,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit    Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP26T   8049 ,YES,Fatal,0
21.03.2013,12:35 PM,1354.2,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit    Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP26T   8049 ,YES,Grevious,0
21.03.2013,12:35 PM,1354.2,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit    Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP26T   8049 ,YES,Minor,0
21.03.2013,12:35 PM,1354.2,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit    Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP26T   8049 ,YES,Non injured ,4
21.03.2013,12:35 PM,1354.2,RHS,Rural,Kodavaluru,Rear End Collision,Lorry hit    Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP26T   8049 ,YES,Animals affected,0
21.03.2013,8:00 PM,1326.3,RHS,Rural,Kavali,Collision Brush/Side Wipe,Lorry hit     New plaza iron poll,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,KA01C   5322,YES,Fatal,0
21.03.2013,8:00 PM,1326.3,RHS,Rural,Kavali,Collision Brush/Side Wipe,Lorry hit     New plaza iron poll,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,KA01C   5322,YES,Grevious,0
21.03.2013,8:00 PM,1326.3,RHS,Rural,Kavali,Collision Brush/Side Wipe,Lorry hit     New plaza iron poll,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,KA01C   5322,YES,Minor,0
21.03.2013,8:00 PM,1326.3,RHS,Rural,Kavali,Collision Brush/Side Wipe,Lorry hit     New plaza iron poll,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,KA01C   5322,YES,Non injured ,2
21.03.2013,8:00 PM,1326.3,RHS,Rural,Kavali,Collision Brush/Side Wipe,Lorry hit     New plaza iron poll,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,KA01C   5322,YES,Animals affected,0
22.03.2013,12:12 AM,1204.1,RHS,Rural,Reningavaram,Collision Brush/Side Wipe,Lorry hit      Safety wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP09TA    1556,YES,Fatal,0
22.03.2013,12:12 AM,1204.1,RHS,Rural,Reningavaram,Collision Brush/Side Wipe,Lorry hit      Safety wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP09TA    1556,YES,Grevious,0
22.03.2013,12:12 AM,1204.1,RHS,Rural,Reningavaram,Collision Brush/Side Wipe,Lorry hit      Safety wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP09TA    1556,YES,Minor,0
22.03.2013,12:12 AM,1204.1,RHS,Rural,Reningavaram,Collision Brush/Side Wipe,Lorry hit      Safety wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP09TA    1556,YES,Non injured ,2
22.03.2013,12:12 AM,1204.1,RHS,Rural,Reningavaram,Collision Brush/Side Wipe,Lorry hit      Safety wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP09TA    1556,YES,Animals affected,0
22.03.2013,2:30 AM,1344,LHS,Rural,Dagadarthi,Collision Brush/Side Wipe,Unknown Vehicle hit   Pedestrian,Unknown,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,Unknown Vehicle,YES,Fatal,1
22.03.2013,2:30 AM,1344,LHS,Rural,Dagadarthi,Collision Brush/Side Wipe,Unknown Vehicle hit   Pedestrian,Unknown,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,Unknown Vehicle,YES,Grevious,0
22.03.2013,2:30 AM,1344,LHS,Rural,Dagadarthi,Collision Brush/Side Wipe,Unknown Vehicle hit   Pedestrian,Unknown,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,Unknown Vehicle,YES,Minor,0
22.03.2013,2:30 AM,1344,LHS,Rural,Dagadarthi,Collision Brush/Side Wipe,Unknown Vehicle hit   Pedestrian,Unknown,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,Unknown Vehicle,YES,Non injured ,0
22.03.2013,2:30 AM,1344,LHS,Rural,Dagadarthi,Collision Brush/Side Wipe,Unknown Vehicle hit   Pedestrian,Unknown,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,Unknown Vehicle,YES,Animals affected,0
23.03.2013,6:30 AM,1218,LHS,Rural,Medarametla,Skidding, Lorry Skidding,Lorry,Non injury,Over speed,Three lanes or more without central divider(median),Straight road,Four arm junction,Fine,AP03TV 0679,YES,Fatal,0
23.03.2013,6:30 AM,1218,LHS,Rural,Medarametla,Skidding, Lorry Skidding,Lorry,Non injury,Over speed,Three lanes or more without central divider(median),Straight road,Four arm junction,Fine,AP03TV 0679,YES,Grevious,0
23.03.2013,6:30 AM,1218,LHS,Rural,Medarametla,Skidding, Lorry Skidding,Lorry,Non injury,Over speed,Three lanes or more without central divider(median),Straight road,Four arm junction,Fine,AP03TV 0679,YES,Minor,0
23.03.2013,6:30 AM,1218,LHS,Rural,Medarametla,Skidding, Lorry Skidding,Lorry,Non injury,Over speed,Three lanes or more without central divider(median),Straight road,Four arm junction,Fine,AP03TV 0679,YES,Non injured ,2
23.03.2013,6:30 AM,1218,LHS,Rural,Medarametla,Skidding, Lorry Skidding,Lorry,Non injury,Over speed,Three lanes or more without central divider(median),Straight road,Four arm junction,Fine,AP03TV 0679,YES,Animals affected,0
23.03.2013,3:10 PM,1259.9,LHS,Rural,Tangutur,Rear End Collision, Unknown Vehicle hit    Tractor,Unknown,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27AJ    0178,YES,Fatal,0
23.03.2013,3:10 PM,1259.9,LHS,Rural,Tangutur,Rear End Collision, Unknown Vehicle hit    Tractor,Unknown,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27AJ    0178,YES,Grevious,0
23.03.2013,3:10 PM,1259.9,LHS,Rural,Tangutur,Rear End Collision, Unknown Vehicle hit    Tractor,Unknown,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27AJ    0178,YES,Minor,0
23.03.2013,3:10 PM,1259.9,LHS,Rural,Tangutur,Rear End Collision, Unknown Vehicle hit    Tractor,Unknown,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27AJ    0178,YES,Non injured ,2
23.03.2013,3:10 PM,1259.9,LHS,Rural,Tangutur,Rear End Collision, Unknown Vehicle hit    Tractor,Unknown,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27AJ    0178,YES,Animals affected,0
23.03.2013,3:31 PM,1257.6,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Car hit      Car,Car,Grievious injury,Druken,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TV      0134,YES,Fatal,0
23.03.2013,3:31 PM,1257.6,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Car hit      Car,Car,Grievious injury,Druken,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TV      0134,YES,Grevious,2
23.03.2013,3:31 PM,1257.6,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Car hit      Car,Car,Grievious injury,Druken,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TV      0134,YES,Minor,0
23.03.2013,3:31 PM,1257.6,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Car hit      Car,Car,Grievious injury,Druken,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TV      0134,YES,Non injured ,2
23.03.2013,3:31 PM,1257.6,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Car hit      Car,Car,Grievious injury,Druken,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TV      0134,YES,Animals affected,0
23.03.2013,7:50 PM,1324.7,RHS,Rural,Kavali,Rear End Collision,Lorry    hit   Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT   7475,YES,Fatal,0
23.03.2013,7:50 PM,1324.7,RHS,Rural,Kavali,Rear End Collision,Lorry    hit   Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT   7475,YES,Grevious,0
23.03.2013,7:50 PM,1324.7,RHS,Rural,Kavali,Rear End Collision,Lorry    hit   Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT   7475,YES,Minor,0
23.03.2013,7:50 PM,1324.7,RHS,Rural,Kavali,Rear End Collision,Lorry    hit   Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT   7475,YES,Non injured ,2
23.03.2013,7:50 PM,1324.7,RHS,Rural,Kavali,Rear End Collision,Lorry    hit   Car,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TT   7475,YES,Animals affected,0
24.03.2013,11:15 AM,1257.5,LHS,Rural,Tangutur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AF     8833,YES,Fatal,0
24.03.2013,11:15 AM,1257.5,LHS,Rural,Tangutur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AF     8833,YES,Grevious,0
24.03.2013,11:15 AM,1257.5,LHS,Rural,Tangutur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AF     8833,YES,Minor,2
24.03.2013,11:15 AM,1257.5,LHS,Rural,Tangutur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AF     8833,YES,Non injured ,0
24.03.2013,11:15 AM,1257.5,LHS,Rural,Tangutur,Skidding,Bike        Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AF     8833,YES,Animals affected,0
24.03.2013,3:30 PM,1256.6,LHS,Rural,Tangutur,Rear End Collision,Trolley hit   Lorry,Trolley,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27TU 7677,YES,Fatal,0
24.03.2013,3:30 PM,1256.6,LHS,Rural,Tangutur,Rear End Collision,Trolley hit   Lorry,Trolley,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27TU 7677,YES,Grevious,0
24.03.2013,3:30 PM,1256.6,LHS,Rural,Tangutur,Rear End Collision,Trolley hit   Lorry,Trolley,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27TU 7677,YES,Minor,0
24.03.2013,3:30 PM,1256.6,LHS,Rural,Tangutur,Rear End Collision,Trolley hit   Lorry,Trolley,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27TU 7677,YES,Non injured ,4
